IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",26,"1975",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.940168
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",27,"1976",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.861849
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",28,"1977",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.808519
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",29,"1978",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.790046
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",30,"1979",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.7576
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",31,"1980",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.745456
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",32,"1981",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.701861
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",33,"1982",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.719859
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",34,"1983",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.748131
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",35,"1984",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.759163
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",36,"1985",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.740079
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",37,"1986",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.680706
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",38,"1987",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.686604
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",39,"1988",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.656674
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",40,"1989",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.571616
